,normalized_year,vd17_id,record_number,field_number,field_code,last_name,first_name,full_name_vd17,member_number,role,role2
106,1673,14:010178X,8304,17,028C,Jena,Friedrich,friedrich jena,801,dte,WidmungsempfängerIn
107,1673,1:015573C,8743,25,028C,Hohenfeld,Johannes,johannes hohenfeld,586,dte,WidmungsempfängerIn
108,1673,39:103738R,8853,19,028C,Wex,Johann Christoph,johann christoph wex,753,dte,WidmungsempfängerIn
109,1673,39:154384S,8872,20,028C,Aldenburg,Anton,anton aldenburg,653,dte,WidmungsempfängerIn
110,1673,1:046604K,9293,19,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
111,1673,3:605562Y,9490,17,028C,Winckel,Christoph,christoph winckel,256,dte,WidmungsempfängerIn
112,1673,39:141487D,9676,20,028C,Pius,Ernestus,ernestus pius,019,dte,WidmungsempfängerIn
113,1673,39:112398G,9794,17,028C,Seckendorff,Veit Ludwig,veit ludwig seckendorff,615,dte,WidmungsempfängerIn
114,1673,23:283255G,10032,18,028C,Fischer,Johannes,johannes fischer,480,dte,WidmungsempfängerIn
115,1672,15:751563G,10147,20,028C,Ernst,Johann,johann ernst,003,prt,DruckerIn
116,1672,15:751563G,10147,20,028C,Ernst,Johann,johann ernst,342,prt,DruckerIn
117,1672,15:751563G,10147,20,028C,Ernst,Johann,johann ernst,702,prt,DruckerIn
118,1672,15:742887T,10250,21,028C,Ernst,Johann,johann ernst,003,prt,DruckerIn
119,1672,15:742887T,10250,21,028C,Ernst,Johann,johann ernst,342,prt,DruckerIn
120,1672,15:742887T,10250,21,028C,Ernst,Johann,johann ernst,702,prt,DruckerIn
121,1672,15:742856R,10251,20,028C,Funcke,Christian,christian funcke,873,aut,VerfasserIn
122,1672,15:728593X,10417,16,028C,Friesen,Karl,karl friesen,538,dte,WidmungsempfängerIn
123,1672,18:716996E,10540,16,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
124,1672,32:677544G,11107,30,028C,Bose,Carl,carl bose,264,dte,WidmungsempfängerIn
125,1672,23:670104D,11189,23,028C,Müller,Peter,peter müller,850,dte,WidmungsempfängerIn
126,1672,23:663359V,11268,24,028C,Winckler,Paul,paul winckler,789,dte,WidmungsempfängerIn
127,1672,547:622150Y,11659,19,028C,Bülow,Julius,julius bülow,163,dte,WidmungsempfängerIn
128,1672,1:002131Y,12015,20,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
129,1672,12:164059X,12379,20,028C,Praun,Michael,michael praun,849,dte,WidmungsempfängerIn
130,1672,12:161350G,12391,20,028C,Friesen,Carl,carl friesen,597,dte,WidmungsempfängerIn
131,1672,12:161350G,12391,20,028C,Friesen,Carl,carl friesen,538,dte,WidmungsempfängerIn
132,1672,12:145202V,12470,21,028C,Gersdorff,Nicolaus,nicolaus gersdorff,662,dte,WidmungsempfängerIn
133,1672,14:069339V,12884,18,028C,Jena,Friedrich,friedrich jena,801,dte,WidmungsempfängerIn
134,1672,3:302677D,12980,19,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
135,1672,23:326203E,13169,17,028C,Kanne,Christian Ernst,christian ernst kanne,821,dte,WidmungsempfängerIn
136,1672,1:011359G,13188,24,028C,Grote,Otto,otto grote,503,dte,WidmungsempfängerIn
137,1672,3:300059Q,13533,30,028C,Ehrenreich,Georg,georg ehrenreich,369,dte,WidmungsempfängerIn
138,1672,3:300059Q,13533,30,028C,Ehrenreich,Georg,georg ehrenreich,592,dte,WidmungsempfängerIn
139,1672,3:010957V,13588,20,028C,Jena,Friedrich,friedrich jena,801,dte,WidmungsempfängerIn
140,1672,3:008928Q,13596,20,028C,Jena,Friedrich,friedrich jena,801,dte,WidmungsempfängerIn
141,1672,39:104121C,13921,18,028C,Beyer,Johann,johann beyer,588,dte,WidmungsempfängerIn
142,1698,12:164987A,14920,22,028C,Gersdorff,Nicolaus,nicolaus gersdorff,662,dte,WidmungsempfängerIn
143,1671,23:751167R,15218,22,028C,Werder,Diederich,diederich werder,031,trl,ÜbersetzerIn
144,1671,23:751167R,15218,22,028C,Werder,Diederich,diederich werder,31,trl,ÜbersetzerIn
