,normalized_year,vd17_id,record_number,field_number,field_code,last_name,first_name,full_name_vd17,member_number,role,role2
621,1637,39:104629R,126803,23,028C,Friesen,Carl,carl friesen,538,dte,WidmungsempfängerIn
622,1637,23:250328T,127007,22,028C,Friesen,Carl,carl friesen,597,dte,WidmungsempfängerIn
623,1637,23:250328T,127007,22,028C,Friesen,Carl,carl friesen,538,dte,WidmungsempfängerIn
624,1637,23:237874W,127024,22,028C,Bünau,Rudolph,rudolph bünau,346,dte,WidmungsempfängerIn
625,1637,23:237874W,127024,22,028C,Bünau,Rudolph,rudolph bünau,830,dte,WidmungsempfängerIn
626,1637,3:604793G,127074,26,028C,Pforte,Hans,hans pforte,258,dte,WidmungsempfängerIn
627,1636,15:748894C,127435,19,028C,Gunther,Ludwig,ludwig gunther,448,dte,WidmungsempfängerIn
628,1636,15:743685W,127455,21,028C,Buchner,August,august buchner,362,dto,WidmendeR
629,1636,32:739389H,127478,19,028C,Banér,Johan,johan banér,222,dte,WidmungsempfängerIn
630,1636,32:739389H,127478,22,028C,Angelocrator,Michael,michael angelocrator,335,dto,WidmendeR
631,1636,28:724720X,127557,18,028C,Cothmann,Johann,johann cothmann,168,dte,WidmungsempfängerIn
632,1636,23:666752B,127926,16,028C,Passow,Hartwig,hartwig passow,157,dte,WidmungsempfängerIn
633,1636,12:149438P,128442,20,028C,Knesebeck,Levin,levin knesebeck,107,dte,WidmungsempfängerIn
634,1636,125:010693Z,128465,17,028C,Bose,Carl,carl bose,264,dte,WidmungsempfängerIn
635,1636,23:293764M,129046,19,028C,Buchner,Augustus,augustus buchner,362,dte,WidmungsempfängerIn
636,1636,125:028932G,129193,15,028C,Beer,Sebastian,sebastian beer,658,hnr,GefeierteR
637,1635,15:748741S,129229,18,028C,Heinrich,Caspar,caspar heinrich,603,aut,VerfasserIn
638,1635,15:740301K,129289,24,028C,Barby,Albrecht Friedrich,albrecht friedrich barby,070,dte,WidmungsempfängerIn
639,1635,15:740301K,129289,25,028C,Barby,Jost Günther,jost günther barby,213,dte,WidmungsempfängerIn
640,1635,15:727525N,129360,15,028C,Oxenstierna,Axel,axel oxenstierna,232,dte,WidmungsempfängerIn
641,1635,28:719807M,129407,17,028C,Fridericus,Adolphus,adolphus fridericus,175,dte,WidmungsempfängerIn
642,1635,3:688425D,129595,19,028C,Rappoltstein,Eberhard,eberhard rappoltstein,147,dte,WidmungsempfängerIn
643,1635,39:154888Z,130675,21,028C,Fischer,Johannes,johannes fischer,480,dte,WidmungsempfängerIn
644,1634,14:682951U,131483,16,028C,Preen,Otto,otto preen,159,dte,WidmungsempfängerIn
645,1634,23:333114D,132240,18,028C,Guntherus,Anthonius,anthonius guntherus,351,dte,WidmungsempfängerIn
646,1634,23:329568M,132299,16,028C,Münster,Johann,johann münster,139,dte,WidmungsempfängerIn
647,1634,39:154537T,132473,16,028C,Pentz,Christian,christian pentz,281,dte,WidmungsempfängerIn
648,1634,3:604041W,132533,18,028C,Passow,Hartwig,hartwig passow,157,dte,WidmungsempfängerIn
649,1634,23:280782T,132746,18,028C,Passow,Hartwig,hartwig passow,157,dte,WidmungsempfängerIn
650,1634,23:269347R,132813,19,028C,Fridericus,Johannes,johannes fridericus,018,dte,WidmungsempfängerIn
651,1633,15:741929V,132969,20,028C,Arnim,Hans Georg,hans georg arnim,255,rcp,AdressatIn
652,1633,32:649978C,133532,17,028C,Oxenstierna,Axel,axel oxenstierna,232,dte,WidmungsempfängerIn
653,1633,23:232911T,133789,16,028C,Hübner,Tobias,tobias hübner,025,dte,WidmungsempfängerIn
654,1632,15:741944V,134976,22,028C,Calchum,Wilhelm,wilhelm calchum,172,aut,VerfasserIn
655,1632,28:716364N,135173,17,028C,Preen,Otto,otto preen,159,dte,WidmungsempfängerIn
656,1632,28:716364N,135173,18,028C,Cothmann,Johann,johann cothmann,168,dte,WidmungsempfängerIn
657,1632,7:635518W,135768,19,028C,Knesebeck,Levin,levin knesebeck,107,dte,WidmungsempfängerIn
658,1632,23:246824N,135895,21,028C,Breitenbauch,Melchior,melchior breitenbauch,595,dte,WidmungsempfängerIn
659,1695,1:621238X,136377,18,028C,Frantzke,Georg,georg frantzke,428,dte,WidmungsempfängerIn
660,1695,1:002791V,136680,21,028C,Gersdorff,Nicolaus,nicolaus gersdorff,662,dte,WidmungsempfängerIn
661,1632,12:166340X,137219,27,028C,Wilhelm,Johann,johann wilhelm,188,dte,WidmungsempfängerIn
662,1632,12:166340X,137219,27,028C,Wilhelm,Johann,johann wilhelm,377,dte,WidmungsempfängerIn
663,1632,23:252207A,138160,17,028C,Buchner,Augustus,augustus buchner,362,dte,WidmungsempfängerIn
664,1631,3086:753494N,138174,20,028C,Bünau,Rudolph,rudolph bünau,346,oth,"Sonstige Person, Familie und Körperschaft"
665,1631,3086:753494N,138174,20,028C,Bünau,Rudolph,rudolph bünau,346,oth,WidmungsempfängerIn
666,1631,3086:753494N,138174,20,028C,Bünau,Rudolph,rudolph bünau,346,dte,"Sonstige Person, Familie und Körperschaft"
667,1631,3086:753494N,138174,20,028C,Bünau,Rudolph,rudolph bünau,346,dte,WidmungsempfängerIn
668,1631,3086:753494N,138174,20,028C,Bünau,Rudolph,rudolph bünau,830,oth,"Sonstige Person, Familie und Körperschaft"
669,1631,3086:753494N,138174,20,028C,Bünau,Rudolph,rudolph bünau,830,oth,WidmungsempfängerIn
670,1631,3086:753494N,138174,20,028C,Bünau,Rudolph,rudolph bünau,830,dte,"Sonstige Person, Familie und Körperschaft"
671,1631,3086:753494N,138174,20,028C,Bünau,Rudolph,rudolph bünau,830,dte,WidmungsempfängerIn
672,1631,15:749505Q,138206,18,028C,Gueinz,Christian,christian gueinz,361,aut,VerfasserIn
673,1631,15:740295T,138306,28,028C,Buchner,August,august buchner,362,dte,WidmungsempfängerIn
674,1631,547:652159B,138928,20,028C,BentheimSteinfurt,Wilhelm Heinrich,wilhelm heinrich bentheimsteinfurt,011,dte,WidmungsempfängerIn
675,1631,1:006998B,140114,24,028C,Bülow,Julius,julius bülow,163,dte,WidmungsempfängerIn
676,1630,547:682299T,141762,16,028C,Arnim,Hans Georg,hans georg arnim,255,dte,WidmungsempfängerIn
677,1630,32:639842D,142158,18,028C,Georgius,Joannes,joannes georgius,682,dte,WidmungsempfängerIn
678,1630,1:059367W,142486,17,028C,Knesebeck,Levin,levin knesebeck,107,dte,WidmungsempfängerIn
679,1630,39:142043E,143726,18,028C,Albrecht,Hans,hans albrecht,158,dte,WidmungsempfängerIn
680,1630,39:142043E,143726,18,028C,Albrecht,Hans,hans albrecht,323,dte,WidmungsempfängerIn
681,1629,15:740286U,144198,26,028C,Friesen,Heinrich,heinrich friesen,683,dte,WidmungsempfängerIn
682,1629,23:738708R,144207,16,028C,Schulenburg,Joachim Johann Georg,joachim johann georg schulenburg,151,dte,WidmungsempfängerIn
683,1629,547:694155T,144570,17,028C,Kirchberg,Georg,georg kirchberg,184,dte,WidmungsempfängerIn
684,1629,23:670139M,144752,18,028C,Knesebeck,Levin,levin knesebeck,107,dte,WidmungsempfängerIn
685,1629,14:053602K,145383,18,028C,Bose,Carl,carl bose,264,dte,WidmungsempfängerIn
686,1629,3:303227D,146208,21,028C,Stieler,Caspar,caspar stieler,813,dte,WidmungsempfängerIn
687,1628,15:743875A,146709,21,028C,Kospoth,Friedrich,friedrich kospoth,055,dte,WidmungsempfängerIn
688,1628,15:743875A,146709,21,028C,Kospoth,Friedrich,friedrich kospoth,709,dte,WidmungsempfängerIn
689,1628,15:743875A,146709,21,028C,Kospoth,Friedrich,friedrich kospoth,55,dte,WidmungsempfängerIn
690,1628,15:742164U,146725,20,028C,Arnim,Hans Georg,hans georg arnim,255,oth,"Sonstige Person, Familie und Körperschaft"
691,1628,7:691407D,148084,22,028C,Berlepsch,Hartmann,hartmann berlepsch,557,dte,WidmungsempfängerIn
692,1628,547:681263Y,148149,19,028C,Fridericus,Johannes,johannes fridericus,018,dte,WidmungsempfängerIn
693,1628,23:642195U,148406,15,028C,Preen,Otto,otto preen,159,dte,WidmungsempfängerIn
694,1628,14:633291V,148475,19,028C,Barby,Albrecht Friedrich,albrecht friedrich barby,070,dte,WidmungsempfängerIn
695,1628,14:633291V,148475,20,028C,Barby,Jost Günther,jost günther barby,213,dte,WidmungsempfängerIn
696,1627,16:747277A,149899,20,028C,Brincken,Wilhelm,wilhelm brincken,270,rsp,RespondentIn
697,1627,15:747181F,149900,21,028C,Miltitz,Hans Caspar,hans caspar miltitz,549,rsp,RespondentIn
698,1627,23:673436T,150422,16,028C,Bülow,Julius,julius bülow,163,dte,WidmungsempfängerIn
699,1627,23:646251L,150575,19,028C,Preen,Otto,otto preen,159,dte,WidmungsempfängerIn
700,1627,1:063880L,150809,20,028C,Hodenberg,Bodo,bodo hodenberg,373,dte,WidmungsempfängerIn
701,1627,39:142213W,151565,19,028C,Berlepsch,Hartmann,hartmann berlepsch,557,dte,WidmungsempfängerIn
702,1627,23:291635L,151799,34,028C,Brincken,Wilhelm,wilhelm brincken,270,dte,WidmungsempfängerIn
703,1626,15:749514P,151910,20,028C,Breitenbauch,Melchior,melchior breitenbauch,595,oth,"Sonstige Person, Familie und Körperschaft"
704,1626,15:748553C,151932,19,028C,Göchhausen,Samuel,samuel göchhausen,425,dte,WidmungsempfängerIn
705,1626,15:739238N,152005,18,028C,Nissmitz,Georg,georg nissmitz,189,dte,WidmungsempfängerIn
706,1626,547:701120V,152297,14,028C,Thümen,Eustachius,eustachius thümen,748,dte,WidmungsempfängerIn
707,1626,547:681174G,152442,18,028C,Fridericus,Johannes,johannes fridericus,018,dte,WidmungsempfängerIn
708,1626,12:647421F,152625,20,028C,Münster,Johann,johann münster,139,dte,WidmungsempfängerIn
709,1626,1:005864S,153020,19,028C,Köppen,Johann,johann köppen,485,dte,WidmungsempfängerIn
710,1626,12:143024D,153251,19,028C,Fridericus,Johannes,johannes fridericus,018,dte,WidmungsempfängerIn
711,1626,3:312827L,153390,17,028C,Wangenheim,Georg,georg wangenheim,732,dte,WidmungsempfängerIn
712,1626,39:150634H,153449,20,028C,Bülow,Julius,julius bülow,163,dte,WidmungsempfängerIn
713,1626,39:139090S,153862,19,028C,Fridericus,Johannes,johannes fridericus,018,dte,WidmungsempfängerIn
714,1625,384:708412A,154522,18,028C,Solms,Heinrich Wilhelm,heinrich wilhelm solms,091,dte,WidmungsempfängerIn
715,1624,31:749590L,156733,23,028C,Moscherosch,Johann Michael,johann michael moscherosch,436,rsp,RespondentIn
716,1624,15:749368R,156739,20,028C,Wilhelm,Christian,christian wilhelm,675,oth,"Sonstige Person, Familie und Körperschaft"
717,1624,5120:745549D,156773,22,028C,Müller,Peter,peter müller,850,dte,WidmungsempfängerIn
718,1624,5120:745542A,156775,20,028C,Schulenburg,Levin,levin schulenburg,027,dte,WidmungsempfängerIn
719,1624,23:672312Q,157334,15,028C,Bülow,Julius,julius bülow,163,dte,WidmungsempfängerIn
720,1624,14:670561S,157341,16,028C,Albertus,Johannes,johannes albertus,158,dte,WidmungsempfängerIn
721,1694,1:735774T,158775,22,028C,Ernst,Joachim,joachim ernst,101,dte,WidmungsempfängerIn
722,1624,39:158757K,159610,18,028C,Beyer,Johann,johann beyer,588,dte,WidmungsempfängerIn
723,1624,125:000636E,159809,17,028C,Georgius,Johannes,johannes georgius,682,dte,WidmungsempfängerIn
724,1624,23:296371M,160125,20,028C,Moscherosch,Johann Michael,johann michael moscherosch,436,dte,WidmungsempfängerIn
725,1623,31:749979N,160377,22,028C,Adami,Tobias,tobias adami,181,oth,"Sonstige Person, Familie und Körperschaft"
726,1623,23:246663V,161384,56,028C,Vogel,Johann,johann vogel,562,dte,WidmungsempfängerIn
727,1623,23:246663V,161384,75,028C,Mechovius,Joachim,joachim mechovius,483,dte,WidmungsempfängerIn
728,1623,39:135926Y,162638,18,028C,Alvensleben,Cuno,cuno alvensleben,098,dte,WidmungsempfängerIn
729,1623,39:135361D,162645,22,028C,Georgius,,georgius,231,dte,WidmungsempfängerIn
730,1623,39:135361D,162645,22,028C,Georgius,,georgius,520,dte,WidmungsempfängerIn
731,1622,17:752099Z,162960,25,028C,Dietrich,Johann,johann dietrich,403,dte,WidmungsempfängerIn
732,1622,15:748931W,163024,20,028C,Frantzke,Georg,georg frantzke,428,hnr,GefeierteR
733,1622,15:747401V,163046,24,028C,Nissmitz,Georg,georg nissmitz,189,dte,WidmungsempfängerIn
734,1622,547:745328X,163071,21,028C,Schulenburg,Joachim Johann Georg,joachim johann georg schulenburg,151,dte,WidmungsempfängerIn
735,1622,15:745082Z,163077,31,028C,Praun,Michael,michael praun,849,rsp,RespondentIn
736,1622,28:720434A,163311,19,028C,Wilhelmus,Fridericus,fridericus wilhelmus,401,dte,WidmungsempfängerIn
737,1622,28:720434A,163311,19,028C,Wilhelmus,Fridericus,fridericus wilhelmus,577,dte,WidmungsempfängerIn
738,1622,14:700405G,163463,18,028C,Fridericus,Johannes,johannes fridericus,018,dte,WidmungsempfängerIn
739,1622,547:677584H,163647,20,028C,Ernestus,Johannes,johannes ernestus,003,dte,WidmungsempfängerIn
740,1622,23:293471D,165625,20,028C,Andreae,Johann Valentin,johann valentin andreae,464,dte,WidmungsempfängerIn
741,1621,3086:752709D,165808,21,028C,Gueinz,Christian,christian gueinz,361,rsp,RespondentIn
742,1621,15:745944N,165896,26,028C,Buchner,August,august buchner,362,dto,WidmendeR
743,1621,14:010344H,167507,17,028C,Fridericus,Johannes,johannes fridericus,018,dte,WidmungsempfängerIn
744,1621,12:131973R,167741,22,028C,BentheimSteinfurt,Wilhelm Heinrich,wilhelm heinrich bentheimsteinfurt,011,dte,WidmungsempfängerIn
745,1694,547:691703Q,169191,16,028C,Kirchberg,Georg,georg kirchberg,184,dte,WidmungsempfängerIn
746,1694,23:672894K,169472,19,028C,Gersdorff,Nicolaus,nicolaus gersdorff,662,dte,WidmungsempfängerIn
747,1620,16:753137E,170148,25,028C,LippeAlverdissen,Philipp,philipp lippealverdissen,117,dte,WidmungsempfängerIn
748,1620,15:749005N,170188,20,028C,Bünau,Rudolph,rudolph bünau,346,oth,"Sonstige Person, Familie und Körperschaft"
749,1620,15:749005N,170188,20,028C,Bünau,Rudolph,rudolph bünau,830,oth,"Sonstige Person, Familie und Körperschaft"
750,1620,15:745797G,170224,22,028C,Hortleder,Friedrich,friedrich hortleder,343,dte,WidmungsempfängerIn
751,1620,107:727836T,170508,17,028C,Ulricus,Fridericus,fridericus ulricus,038,dte,WidmungsempfängerIn
752,1620,547:686185T,170926,20,028C,Fridericus,Johannes,johannes fridericus,018,dte,WidmungsempfängerIn
753,1620,7:650569W,171394,18,028C,Thomas,,thomas,295,dte,WidmungsempfängerIn
754,1620,23:245076N,171869,18,028C,Teutleben,Caspar,caspar teutleben,001,dte,WidmungsempfängerIn
755,1620,23:259828K,174194,24,028C,Fridericus,Johannes,johannes fridericus,018,dte,WidmungsempfängerIn
756,1619,17:751711V,174278,23,028C,Börstel,Ludwig,ludwig börstel,053,dte,WidmungsempfängerIn
757,1619,17:751711V,174278,23,028C,Börstel,Ludwig,ludwig börstel,53,dte,WidmungsempfängerIn
758,1619,15:737632E,174423,18,028C,Knesebeck,Hempo,hempo knesebeck,088,dte,WidmungsempfängerIn
759,1619,15:737632E,174423,19,028C,Knesebeck,Levin,levin knesebeck,107,dte,WidmungsempfängerIn
760,1619,547:732163H,174486,16,028C,Wangenheim,Friedrich,friedrich wangenheim,703,dte,WidmungsempfängerIn
761,1619,28:719759D,174632,17,028C,Fridericus,Adolphus,adolphus fridericus,175,dte,WidmungsempfängerIn
762,1619,23:665859F,175107,16,028C,Albertus,Johannes,johannes albertus,158,dte,WidmungsempfängerIn
763,1619,23:244642R,175673,22,028C,Knesebeck,Hempo,hempo knesebeck,088,dte,WidmungsempfängerIn
764,1619,23:244642R,175673,23,028C,Knesebeck,Levin,levin knesebeck,107,dte,WidmungsempfängerIn
765,1619,1:007306Z,175884,20,028C,Adami,Tobias,tobias adami,181,dte,WidmungsempfängerIn
766,1619,3:603333S,176700,25,028C,Alvensleben,Cuno,cuno alvensleben,098,dte,WidmungsempfängerIn
767,1619,1:073737D,177097,20,028C,Loß,Christoph,christoph loß,575,dte,WidmungsempfängerIn
768,1618,17:750411Z,177757,21,028C,Dietrichstein,Rudolf,rudolf dietrichstein,481,aut,VerfasserIn
769,1618,15:744218F,177829,21,028C,Alvensleben,Cuno,cuno alvensleben,098,dte,WidmungsempfängerIn
770,1618,15:744218F,177829,21,028C,Alvensleben,Cuno,cuno alvensleben,98,dte,WidmungsempfängerIn
771,1618,23:663321Q,178521,16,028C,Casimirus,Johannes,johannes casimirus,010,dte,WidmungsempfängerIn
772,1618,1:011018G,179621,19,028C,Berlepsch,Hartmann,hartmann berlepsch,557,dte,WidmungsempfängerIn
773,1618,12:205945W,179726,22,028C,Donop,Levin,levin donop,130,dte,WidmungsempfängerIn
774,1618,3:014427R,181518,22,028C,Albertus,Johannes,johannes albertus,158,dte,WidmungsempfängerIn
775,1617,15:749337P,182031,19,028C,Witzleben,Georg Friedrich,georg friedrich witzleben,429,dte,WidmungsempfängerIn
776,1617,14:656664Q,182811,18,028C,Fridericus,Johannes,johannes fridericus,018,dte,WidmungsempfängerIn
777,1617,1:011012M,183536,19,028C,Bodenhausen,Bodo,bodo bodenhausen,152,dte,WidmungsempfängerIn
778,1617,14:026293G,183601,20,028C,Fridericus,Johannes,johannes fridericus,018,dte,WidmungsempfängerIn
779,1617,3:013042Q,183873,18,028C,Kospoth,Friedrich,friedrich kospoth,055,dte,WidmungsempfängerIn
780,1617,3:013042Q,183873,18,028C,Kospoth,Friedrich,friedrich kospoth,709,dte,WidmungsempfängerIn
781,1617,3:006344F,184656,21,028C,Rabiel,Rudolph,rudolph rabiel,235,dte,WidmungsempfängerIn
782,1617,23:276268W,184999,18,028C,Rabiel,Rudolph,rudolph rabiel,235,dte,WidmungsempfängerIn
783,1616,28:720294D,185424,18,028C,Guntherus,Anthonius,anthonius guntherus,351,dte,WidmungsempfängerIn
784,1616,547:686838W,185723,19,028C,Albertus,Johannes,johannes albertus,158,dte,WidmungsempfängerIn
785,1616,14:659353X,185940,21,028C,Fridericus,Johannes,johannes fridericus,018,dte,WidmungsempfängerIn
786,1616,3:650339R,186007,21,028C,Fridericus,Johannes,johannes fridericus,018,dte,WidmungsempfängerIn
787,1616,3:003529D,186892,19,028C,Schulenburg,Joachim Johann Georg,joachim johann georg schulenburg,151,dte,WidmungsempfängerIn
788,1616,1:014201W,186967,18,028C,Hahn,Werner,werner hahn,042,dte,WidmungsempfängerIn
789,1616,14:072166D,187267,18,028C,Ludovicus,Joannes,joannes ludovicus,170,dte,WidmungsempfängerIn
790,1616,3:013036P,187665,18,028C,Fridericus,Johannes,johannes fridericus,018,dte,WidmungsempfängerIn
791,1615,27:747714R,188129,19,028C,Beyer,Johann,johann beyer,588,rsp,RespondentIn
792,1615,56:728396K,188306,16,028C,Kufstein,Georg Adam,georg adam kufstein,540,dte,WidmungsempfängerIn
793,1615,547:652134A,188899,24,028C,BentheimSteinfurt,Wilhelm Heinrich,wilhelm heinrich bentheimsteinfurt,011,dte,WidmungsempfängerIn
794,1615,547:639956W,189025,20,028C,Fridericus,Johannes,johannes fridericus,018,dte,WidmungsempfängerIn
795,1615,14:008548F,189531,18,028C,Fridericus,Johannes,johannes fridericus,018,dte,WidmungsempfängerIn
796,1615,23:330191V,190070,19,028C,Fridericus,Johannes,johannes fridericus,018,dte,WidmungsempfängerIn
797,1615,39:145852L,190652,17,028C,Kirchberg,Georg,georg kirchberg,184,dte,WidmungsempfängerIn
798,1614,39:135821E,194770,17,028C,Kirchberg,Georg,georg kirchberg,184,dte,WidmungsempfängerIn
799,1614,39:126230X,194783,17,028C,Quingenberg,Adam Heinrich,adam heinrich quingenberg,166,dte,WidmungsempfängerIn
800,1614,39:115717G,194796,21,028C,Asseburg,Ludwig,ludwig asseburg,740,dte,WidmungsempfängerIn
801,1613,5120:744551V,195145,36,028C,Hagen,Friedrich,friedrich hagen,757,dte,WidmungsempfängerIn
802,1613,15:740116T,195187,22,028C,Starhemberg,Erasmus,erasmus starhemberg,489,oth,"Mitglied eines Ausschusses, der akademische Grade vergibt"
803,1613,14:664564D,195804,20,028C,Fridericus,Johannes,johannes fridericus,018,dte,WidmungsempfängerIn
804,1613,547:654708C,195866,16,028C,Kirchberg,Georg,georg kirchberg,184,dte,WidmungsempfängerIn
805,1613,32:635915V,196044,17,028C,Georgius,Johannes,johannes georgius,682,dte,WidmungsempfängerIn
806,1613,14:018121W,196536,18,028C,Bünau,Rudolph,rudolph bünau,346,dte,WidmungsempfängerIn
807,1613,14:018121W,196536,18,028C,Bünau,Rudolph,rudolph bünau,830,dte,WidmungsempfängerIn
808,1613,12:112955R,196948,19,028C,Kospoth,Friedrich,friedrich kospoth,055,dte,WidmungsempfängerIn
809,1613,12:112955R,196948,19,028C,Kospoth,Friedrich,friedrich kospoth,709,dte,WidmungsempfängerIn
810,1613,3:300780D,197143,18,028C,Wolfframsdorff,Wolff Ernst,wolff ernst wolfframsdorff,440,dte,WidmungsempfängerIn
811,1613,23:251317H,197277,36,028C,Heinrich,Wilhelm,wilhelm heinrich,011,dte,WidmungsempfängerIn
812,1612,27:752449P,197920,25,028C,Happe,Volkmar,volkmar happe,814,dte,WidmungsempfängerIn
813,1612,15:737706W,198010,19,028C,Georg,Johann,johann georg,482,dte,WidmungsempfängerIn
814,1612,15:737706W,198010,19,028C,Georg,Johann,johann georg,243,dte,WidmungsempfängerIn
815,1612,15:737706W,198010,19,028C,Georg,Johann,johann georg,682,dte,WidmungsempfängerIn
816,1612,15:737706W,198010,19,028C,Georg,Johann,johann georg,009,dte,WidmungsempfängerIn
817,1612,15:737706W,198010,19,028C,Georg,Johann,johann georg,424,dte,WidmungsempfängerIn
818,1612,15:737706W,198010,19,028C,Georg,Johann,johann georg,322,dte,WidmungsempfängerIn
819,1612,15:737706W,198010,19,028C,Georg,Johann,johann georg,507,dte,WidmungsempfängerIn
820,1612,14:027416T,199403,20,028C,Ludovicus,Joannes,joannes ludovicus,170,dte,WidmungsempfängerIn
821,1612,14:020196Y,200185,21,028C,Diskau,Hieronymus,hieronymus diskau,209,dte,WidmungsempfängerIn
822,1611,15:744539T,200996,21,028C,Adam,Johann,johann adam,705,rsp,RespondentIn
823,1611,14:701596H,201312,19,028C,Fridericus,Johannes,johannes fridericus,018,dte,WidmungsempfängerIn
824,1611,3:681803S,201470,18,028C,Grote,Otto,otto grote,503,dte,WidmungsempfängerIn
825,1693,15:741219A,202188,22,028C,Loß,Johann Caspar,johann caspar loß,824,dte,WidmungsempfängerIn
826,1611,3:009248U,203865,23,028C,Fridericus,Johannes,johannes fridericus,018,dte,WidmungsempfängerIn
827,1611,3:014507H,204311,21,028C,Georgius,Johannes,johannes georgius,682,dte,WidmungsempfängerIn
828,1611,3:605124R,204525,20,028C,TrostTiefenthal,Johannes,johannes trosttiefenthal,187,dte,WidmungsempfängerIn
829,1611,23:280823S,204590,28,028C,Albertus,Johannes,johannes albertus,158,dte,WidmungsempfängerIn
830,1610,15:748445F,204788,18,028C,Rabiel,Rudolf,rudolf rabiel,235,ctb,MitwirkendeR
831,1610,15:748445F,204788,26,028C,Bünau,Rudolph,rudolph bünau,346,ctb,MitwirkendeR
832,1610,15:748445F,204788,26,028C,Bünau,Rudolph,rudolph bünau,830,ctb,MitwirkendeR
833,1610,115:718251M,205077,22,028C,Preen,Otto,otto preen,159,dte,WidmungsempfängerIn
834,1610,23:680307R,205395,18,028C,Knesebeck,Thomas,thomas knesebeck,524,dte,WidmungsempfängerIn
835,1610,1:645129S,205757,17,028C,Cothmann,Johann,johann cothmann,168,dte,WidmungsempfängerIn
836,1610,1:059346A,206105,23,028C,Hahn,Werner,werner hahn,042,dte,WidmungsempfängerIn
837,1610,12:132975L,206698,21,028C,Fridericus,Johannes,johannes fridericus,018,dte,WidmungsempfängerIn
838,1610,23:329882V,206947,17,028C,Wolfframsdorff,Wolff Ernst,wolff ernst wolfframsdorff,440,dte,WidmungsempfängerIn
839,1610,39:119922D,207662,18,028C,Kospoth,Friedrich,friedrich kospoth,055,dte,WidmungsempfängerIn
840,1610,39:119922D,207662,18,028C,Kospoth,Friedrich,friedrich kospoth,709,dte,WidmungsempfängerIn
841,1609,17:750625X,208034,22,028C,Bünau,Günther,günther bünau,862,dte,WidmungsempfängerIn
842,1609,547:659692G,208744,18,028C,Schulenburg,Joachim Johann Georg,joachim johann georg schulenburg,151,dte,WidmungsempfängerIn
843,1609,7:647641E,208844,20,028C,Georgius,Johannes,johannes georgius,682,dte,WidmungsempfängerIn
844,1609,7:647627N,208846,21,028C,Fridericus,Johannes,johannes fridericus,018,dte,WidmungsempfängerIn
845,1609,125:004571E,210486,15,028C,Georgius,Johannes,johannes georgius,682,hnr,GefeierteR
846,1608,14:647984V,211560,18,028C,Wolfframsdorff,Wolff Ernst,wolff ernst wolfframsdorff,440,dte,WidmungsempfängerIn
847,1608,23:625397B,211768,17,028C,Georgius,Johannes,johannes georgius,682,dte,WidmungsempfängerIn
848,1608,12:177814T,212184,22,028C,Adolphus,Johannes,johannes adolphus,719,dte,WidmungsempfängerIn
849,1608,23:255013D,214517,19,028C,Guntherus,Antonius,antonius guntherus,351,dte,WidmungsempfängerIn
850,1608,23:255013D,214517,19,028C,Guntherus,Antonius,antonius guntherus,447,dte,WidmungsempfängerIn
851,1607,15:747271E,214578,21,028C,Casimirus,Johannes,johannes casimirus,010,dte,WidmungsempfängerIn
852,1607,23:651725E,215227,16,028C,Rochow,Hans,hans rochow,317,dte,WidmungsempfängerIn
853,1607,23:627371B,215441,18,028C,Georgius,Johannes,johannes georgius,682,dte,WidmungsempfängerIn
854,1607,23:326145R,216312,15,028C,Casimirus,Johannes,johannes casimirus,010,dte,WidmungsempfängerIn
855,1607,3:008067K,216591,19,028C,Weyhe,Eberhard,eberhard weyhe,079,dte,WidmungsempfängerIn
856,1607,3:006903E,216597,21,028C,BentheimSteinfurt,Wilhelm Heinrich,wilhelm heinrich bentheimsteinfurt,011,dte,WidmungsempfängerIn
857,1606,15:745501S,217039,23,028C,Casimirus,Johannes,johannes casimirus,010,dte,WidmungsempfängerIn
858,1606,28:719090Y,217210,20,028C,Albertus,Johannes,johannes albertus,158,dte,WidmungsempfängerIn
859,1606,14:642290M,217653,16,028C,Fridericus,Albertus,albertus fridericus,070,dte,WidmungsempfängerIn
860,1606,3:016730U,219009,16,028C,Bünau,Rudolph,rudolph bünau,346,dte,WidmungsempfängerIn
861,1606,3:016730U,219009,16,028C,Bünau,Rudolph,rudolph bünau,830,dte,WidmungsempfängerIn
862,1606,39:128868U,219104,19,028C,Knesebeck,Hempo,hempo knesebeck,088,dte,WidmungsempfängerIn
863,1606,39:128868U,219104,20,028C,Knesebeck,Levin,levin knesebeck,107,dte,WidmungsempfängerIn
864,1605,3:700309G,219769,19,028C,Georgius,Johannes,johannes georgius,682,dte,WidmungsempfängerIn
865,1605,23:247718L,220324,21,028C,Schulenburg,Matthias,matthias schulenburg,210,dte,WidmungsempfängerIn
866,1605,39:140503X,221373,25,028C,Fridericus,Adolphus,adolphus fridericus,175,dte,WidmungsempfängerIn
867,1604,29:730678W,221823,17,028C,Georgius,Johannes,johannes georgius,682,dte,WidmungsempfängerIn
868,1604,14:673020U,222151,20,028C,Georgius,Johannes,johannes georgius,682,dte,WidmungsempfängerIn
869,1604,14:672955W,222154,19,028C,Georgius,Johannes,johannes georgius,682,dte,WidmungsempfängerIn
870,1700,14:008803H,225428,17,028C,Fischer,Johannes,johannes fischer,480,dte,WidmungsempfängerIn
871,1700,1:019500B,225992,22,028C,Kirchberg,Georg Ludwig,georg ludwig kirchberg,560,dte,WidmungsempfängerIn
