normalized_year,genre,n,phase
1624,Gelegenheitsschrift,8,phase 1
1625,Amtsdruckschrift,8,phase 1
1632,Dissertation,8,phase 1
1632,Schulprogramm,8,phase 1
1637,Lyrik,8,phase 1
1640,Leichenpredigt,8,phase 1
1644,Amtsdruckschrift,8,phase 1
1645,Hochschulschrift,8,phase 1
1645,Streitschrift,8,phase 1
1646,Streitschrift,8,phase 1
1649,Hochschulschrift,8,phase 1
1650,Lied,8,phase 1
1652,Leichenpredigt,8,phase 2
1656,Dissertation,8,phase 2
1656,Geldwesen,8,phase 2
1657,Predigt,8,phase 2
1658,Vertrag,8,phase 2
1659,Dissertation,8,phase 2
1660,Rede,8,phase 2
1665,Geldwesen,8,phase 2
1667,Hochschulschrift,8,phase 2
1668,Amtsdruckschrift,8,phase 3
1668,Gesellschaftsschrift,8,phase 3
1668,Rede,8,phase 3
1669,Schulprogramm,8,phase 3
1673,Geldwesen,8,phase 3
1678,Gesellschaftsschrift,8,phase 3
1679,Schäferdichtung,8,phase 3
1680,Medizin,8,phase 3
1682,Lyrik,8,phase 3
1617,Streitschrift,7,phase 1
1618,Lyrik,7,phase 1
1618,Verordnung,7,phase 1
1624,Geldwesen,7,phase 1
1625,Dissertation,7,phase 1
1626,Lyrik,7,phase 1
1630,Amtsdruckschrift,7,phase 1
1630,Dissertation,7,phase 1
1631,Amtsdruckschrift,7,phase 1
1631,Schulprogramm,7,phase 1
1632,Flugschrift,7,phase 1
1635,Streitschrift,7,phase 1
1639,Hochschulschrift,7,phase 1
1640,Verserzählung,7,phase 1
1642,Liedersammlung,7,phase 1
1642,Schäferdichtung,7,phase 1
1643,Amtsdruckschrift,7,phase 1
1646,Brief,7,phase 1
1646,Roman,7,phase 1
1646,Schäferdichtung,7,phase 1
1649,Brief,7,phase 1
1650,Rede,7,phase 1
1651,Gesangbuch,7,phase 2
1655,Vertrag,7,phase 2
1656,Brief,7,phase 2
1657,Drama,7,phase 2
1658,Dissertation,7,phase 2
1659,Geldwesen,7,phase 2
1660,Anthologie,7,phase 2
1660,Gesellschaftsschrift,7,phase 2
1660,Hochschulschrift,7,phase 2
1660,Leichenpredigt,7,phase 2
1661,Briefsteller,7,phase 2
1664,Roman,7,phase 2
1665,Hochschulschrift,7,phase 2
1665,Leichenpredigt,7,phase 2
1665,Schulprogramm,7,phase 2
1665,Streitschrift,7,phase 2
1666,Flugschrift,7,phase 2
1667,Biographie,7,phase 2
1668,Dissertation,7,phase 3
1670,Leichenpredigt,7,phase 3
1670,Schulprogramm,7,phase 3
1671,Hochschulschrift,7,phase 3
1671,Leichenpredigt,7,phase 3
1672,Flugschrift,7,phase 3
1677,Gesellschaftsschrift,7,phase 3
1679,Flugschrift,7,phase 3
1679,Gesellschaftsschrift,7,phase 3
1679,Schulprogramm,7,phase 3
1680,Brief,7,phase 3
1680,Flugschrift,7,phase 3
1617,Regesten,6,phase 1
1619,Alchemie,6,phase 1
1620,Briefsammlung,6,phase 1
1621,Brief,6,phase 1
1621,Vertrag,6,phase 1
1622,Streitschrift,6,phase 1
1623,Dissertation,6,phase 1
1623,Flugschrift,6,phase 1
1623,Hochschulschrift,6,phase 1
1624,Lyrik,6,phase 1
1627,Amtsdruckschrift,6,phase 1
1627,Leichenpredigt,6,phase 1
1629,Dissertation,6,phase 1
1630,Streitschrift,6,phase 1
1633,Brief,6,phase 1
1636,Briefsammlung,6,phase 1
1636,Hochschulschrift,6,phase 1
1636,Leichenpredigt,6,phase 1
1639,Flugschrift,6,phase 1
1640,Hochschulschrift,6,phase 1
1641,Leichenpredigt,6,phase 1
1642,Leichenpredigt,6,phase 1
1643,Leichenpredigt,6,phase 1
1643,Rede,6,phase 1
1645,Regesten,6,phase 1
1645,Schulprogramm,6,phase 1
1646,Hochschulschrift,6,phase 1
1647,Gesellschaftsschrift,6,phase 1
1647,Satire,6,phase 1
1648,Hochschulschrift,6,phase 1
1648,Schäferdichtung,6,phase 1
1650,Anthologie,6,phase 1
1650,Hochschulschrift,6,phase 1
1650,Libretto,6,phase 1
1651,Dissertationensammlung,6,phase 2
1651,Verserzählung,6,phase 2
1656,Poetik,6,phase 2
1657,Leichenpredigt,6,phase 2
1659,Libretto,6,phase 2
1661,Altertumskunde,6,phase 2
1661,Schulprogramm,6,phase 2
1662,Hochschulschrift,6,phase 2
1662,Regesten,6,phase 2
1663,Libretto,6,phase 2
1663,Streitschrift,6,phase 2
1664,Frauenliteratur,6,phase 2
1664,Hochschulschrift,6,phase 2
1664,Medizin,6,phase 2
1664,Rede,6,phase 2
1665,Altertumskunde,6,phase 2
1665,Lied,6,phase 2
1667,Gesellschaftsschrift,6,phase 2
1668,Schulprogramm,6,phase 3
1669,Predigt,6,phase 3
1670,Streitschrift,6,phase 3
1671,Kommentar,6,phase 3
1671,Schulprogramm,6,phase 3
1671,Topographie,6,phase 3
1672,Leichenpredigt,6,phase 3
1673,Hochschulschrift,6,phase 3
1674,Chronik,6,phase 3
1674,Geldwesen,6,phase 3
1675,Architektur,6,phase 3
1676,Rede,6,phase 3
1676,Schulprogramm,6,phase 3
1677,Leichenpredigt,6,phase 3
1677,Predigt,6,phase 3
1679,Amtsdruckschrift,6,phase 3
1679,Leichenpredigt,6,phase 3
1680,Gebet,6,phase 3
1681,Flugschrift,6,phase 3
1681,Predigt,6,phase 3
1682,Hausväterliteratur,6,phase 3
1682,Leichenpredigt,6,phase 3
1682,Rede,6,phase 3
1619,Streitschrift,5,phase 1
1626,Dissertation,5,phase 1
1630,Leichenpredigt,5,phase 1
1632,Amtsdruckschrift,5,phase 1
1633,Vertrag,5,phase 1
1634,Streitschrift,5,phase 1
1635,Amtsdruckschrift,5,phase 1
1635,Briefsammlung,5,phase 1
1635,Hochschulschrift,5,phase 1
1636,Brief,5,phase 1
1636,Schulprogramm,5,phase 1
1637,Amtsdruckschrift,5,phase 1
1637,Brief,5,phase 1
1637,Flugschrift,5,phase 1
1638,Amtsdruckschrift,5,phase 1
1639,Festbeschreibung,5,phase 1
1640,Rede,5,phase 1
1641,Streitschrift,5,phase 1
1642,Rede,5,phase 1
1643,Flugschrift,5,phase 1
1644,Hochschulschrift,5,phase 1
1644,Streitschrift,5,phase 1
1647,Hochschulschrift,5,phase 1
1647,Streitschrift,5,phase 1
1649,Drama,5,phase 1
1649,Festbeschreibung,5,phase 1
1649,Gesellschaftsschrift,5,phase 1
1649,Streitschrift,5,phase 1
1650,Predigt,5,phase 1
1650,Roman,5,phase 1
1651,Dissertation,5,phase 2
1651,Geldwesen,5,phase 2
1651,Hochschulschrift,5,phase 2
1651,Leichenpredigt,5,phase 2
1652,Gesangbuch,5,phase 2
1652,Hochschulschrift,5,phase 2
1653,Anthologie,5,phase 2
1653,Flugschrift,5,phase 2
1655,Schulprogramm,5,phase 2
1656,Vertrag,5,phase 2
1657,Rede,5,phase 2
1657,Streitschrift,5,phase 2
1658,Hochschulschrift,5,phase 2
1659,Satire,5,phase 2
1660,Gesangbuch,5,phase 2
1661,Hochschulschrift,5,phase 2
1661,Libretto,5,phase 2
1662,Drama,5,phase 2
1662,Libretto,5,phase 2
1662,Rede,5,phase 2
1663,Gesellschaftsschrift,5,phase 2
1663,Schulprogramm,5,phase 2
1664,Gesellschaftsschrift,5,phase 2
1665,Flugschrift,5,phase 2
1665,Rede,5,phase 2
1667,Rede,5,phase 2
1667,Roman,5,phase 2
1668,Hochschulschrift,5,phase 3
1668,Leichenpredigt,5,phase 3
1668,Streitschrift,5,phase 3
1669,Dissertation,5,phase 3
1669,Leichenpredigt,5,phase 3
1669,Libretto,5,phase 3
1671,Flugschrift,5,phase 3
1671,Reisebericht,5,phase 3
1672,Festungsbau,5,phase 3
1673,Briefsteller,5,phase 3
1673,Leichenpredigt,5,phase 3
1674,Streitschrift,5,phase 3
